sa2_name_2016,sa2_main_2016,service,mean_time_access,pop_by_mean_time_access,dis_by_mean_time_access,n_person,n_disability,prop_disability,scaled_dis_by_mean_time_access,scaled_pop_by_mean_time_access,centroid_dist_km
Maroochydore - Kuluin,316031427,Neurology,133.6151282725411,2743519.428820087,663399.1118731666,20533,4965,0.24180587347197194,1,1,15.442
Gympie Region,319031514,Neurology,104.86695915580138,2063047.6874720803,640632.2534827905,19673,6109,0.31052711838560465,0.9656815060754426,0.7519712329354055,71.647
Noosa Hinterland,316081549,Neurology,103.88971960626726,2426656.0705631906,612014.3382005205,23358,5891,0.2522048120558267,0.9225431979739065,0.884504787927392,47.684
Gympie - North,319031512,Neurology,132.75304839012526,1957178.1924156167,582122.1171906992,14743,4385,0.29742928847588684,0.8774840164422671,0.7133822971530206,71.763
Bribie Island,313011363,Neurology,76.94468317148007,1482570.1553480779,536612.220437902,19268,6974,0.36194727008511524,0.8088829346224621,0.540389887446757,55.903
Upper Coomera - Willow Vale,309071258,Neurology,62.2953286420668,2172736.4723780057,466155.94422858587,34878,7483,0.21454785251447905,0.7026779745187673,0.7919522820045931,23.863
Lockyer Valley - East,310021280,Neurology,77.62060235356046,1638182.8126718935,402152.34079379676,21105,5181,0.24548685145700072,0.6061996972806969,0.597109973220212,60.21
Caboolture,313021365,Neurology,50.27475695264505,1464604.2195444556,394656.84207826364,29132,7850,0.2694631333241796,0.594901070886144,0.5338413878754057,25.007
Maryborough Region - South,319051525,Neurology,117.99122966278837,1036788.9350469215,392320.83862877137,8787,3325,0.3783999089564129,0.5913798068270222,0.3779047176249873,141.492
Buderim - North,316011413,Neurology,109.47594739844136,1936848.4613732246,386450.094316498,17692,3530,0.1995252091340719,0.5825303160646713,0.7059722052729221,17.058
Nanango,319021509,Neurology,95.82693730518604,935941.6966597519,383978.5377818804,9767,4007,0.4102590355277977,0.5788047208831539,0.3411463709087983,34.437
Tewantin,316051438,Neurology,110.47512745774516,1169821.1246500635,349653.7784037634,10589,3165,0.29889507979979224,0.5270639832731834,0.42639432852610476,39.28
Warwick,307031189,Neurology,93.48723363347563,1437459.7043483213,346837.63678019453,15376,3710,0.24128511966701352,0.5228189645911154,0.5239473390449192,86.228
Cooloola,319031511,Neurology,107.62722841971933,698177.8307587194,334828.30761374685,6487,3111,0.4795745336827501,0.5047162433912961,0.25448255384106633,117.681
Coolum Beach,316031425,Neurology,122.14303459805069,1928760.6593378184,326854.7605843836,15791,2676,0.1694636185168767,0.4926970126044939,0.7030242392587414,26.671
Beaudesert,311011305,Neurology,80.90785211389534,1196465.3170602843,322255.97496964515,14788,3983,0.26934000540979175,0.4857648573868702,0.4361060120412019,70.532
Nerang - Mount Nathan,309061248,Neurology,65.08149537844015,1410706.4938230687,313822.9707148384,21676,4822,0.22245801808451743,0.47305304619527033,0.5141959189367852,13.224
Marcoola - Mudjimba,316031426,Neurology,108.59300025786501,1292799.668069883,312747.84074265126,11905,2880,0.24191516169676605,0.4714324079505922,0.47121943241564024,16.054
Kingaroy Region - North,319021506,Neurology,108.90792645330694,1058040.505493877,307229.2605247789,9715,2821,0.2903757076685538,0.46311376519225306,0.38565081565648374,72.605
Buderim - South,316011414,Neurology,96.27059154757424,1670005.9515757705,306429.29289592884,17347,3183,0.18348994062373897,0.46190790341985594,0.6087093585096259,13.662
